"","ccaa","prov","sexo","edad","nacio","educ","situa","rentah","factorele","provsex","edad2","edad3","edad4","edad5","edu1","edu2","edu3","nacio1","situ1","situ2","situ3","uchogar","rentanorm","pobre","dom"
"1296",1,14,1,3,1,0,0,31688.006,1552.59483,141,0,1,0,0,0,0,0,1,0,0,0,3,10562.669,0,27
"2896",1,29,2,4,1,1,1,11140,510.36857,292,0,0,1,0,1,0,0,1,1,0,0,1.5,7426.667,0,58
"1146",1,11,1,3,1,2,1,23850.465,1733.80148,111,0,1,0,0,0,1,0,1,1,0,0,2,11925.233,0,21
"4095",1,41,1,5,1,3,3,42421.515,1729.75702,411,0,0,0,1,0,0,1,1,0,0,1,2.8,15150.541,0,81
"1025",1,11,2,0,1,0,0,17100,368.42027,112,0,0,0,0,0,0,0,1,0,0,0,2.4,7125,0,22
"4348",1,41,1,3,1,2,1,19450,1483.16629,411,0,1,0,0,0,1,0,1,1,0,0,2.1,9261.905,0,81
"690",1,11,2,4,1,1,3,9000,813.52075,112,0,0,1,0,1,0,0,1,0,0,1,2,4500,1,22
"2106",1,21,2,2,1,2,1,29478,792.90562,212,1,0,0,0,0,1,0,1,1,0,0,4,7369.5,0,42
"1637",1,14,1,5,1,1,3,7910,1312.50732,141,0,0,0,1,1,0,0,1,0,0,1,1.5,5273.333,1,27
"805",1,11,2,4,1,2,3,58572,2434.70971,112,0,0,1,0,0,1,0,1,0,0,1,2.5,23428.8,0,22
"708",1,11,2,2,1,2,2,32280,3178.65071,112,1,0,0,0,0,1,0,1,0,1,0,3,10760,0,22
"1677",1,18,2,2,1,2,3,16754.563,2133.7395,182,1,0,0,0,0,1,0,1,0,0,1,2.5,6701.825,0,36
"4379",1,41,1,4,1,2,1,50979.751,941.20195,411,0,0,1,0,0,1,0,1,1,0,0,3,16993.25,0,81
"2821",1,29,1,0,1,0,0,13080,2912.23886,291,0,0,0,0,0,0,0,1,0,0,0,2.1,6228.572,1,57
"2614",1,23,2,4,0,2,3,6392,1065.56282,232,0,0,1,0,0,1,0,0,0,0,1,1.5,4261.333,1,46
"573",1,11,1,5,1,1,3,11431.906,1861.25302,111,0,0,0,1,1,0,0,1,0,0,1,1.5,7621.271,0,21
"727",1,11,2,3,1,2,3,22165,758.44231,112,0,1,0,0,0,1,0,1,0,0,1,1,22165,0,22
"2832",1,29,1,5,1,1,3,14800,1639.1832,291,0,0,0,1,1,0,0,1,0,0,1,1.5,9866.667,0,57
"4482",1,41,2,3,1,2,1,29280,1359.06887,412,0,1,0,0,0,1,0,1,1,0,0,1.8,16266.667,0,82
"51",1,4,1,5,1,1,3,11600,1579.79464,41,0,0,0,1,1,0,0,1,0,0,1,1.5,7733.333,0,7
"736",1,11,2,3,1,1,1,23800,2594.80294,112,0,1,0,0,1,0,0,1,1,0,0,2,11900,0,22
"3213",1,29,2,4,1,1,3,21454,1207.27967,292,0,0,1,0,1,0,0,1,0,0,1,2.5,8581.6,0,58
"3092",1,29,2,0,1,0,0,14330,1659.64378,292,0,0,0,0,0,0,0,1,0,0,0,1.8,7961.111,0,58
"1722",1,18,1,3,1,2,1,15436,3166.84672,181,0,1,0,0,0,1,0,1,1,0,0,2.1,7350.477,0,35
"2800",1,29,1,3,1,2,3,14200,1895.43758,291,0,1,0,0,0,1,0,1,0,0,1,2.3,6173.913,1,57
"1073",1,11,1,1,1,0,0,33000,622.25719,111,0,0,0,0,0,0,0,1,0,0,0,4,8250,0,21
"400",1,11,2,4,1,1,3,13810,1202.99482,112,0,0,1,0,1,0,0,1,0,0,1,1.5,9206.667,0,22
"1015",1,11,1,2,1,2,3,27160,917.86462,111,1,0,0,0,0,1,0,1,0,0,1,2.8,9700,0,21
"3436",1,29,1,3,1,2,1,21494,4895.07286,291,0,1,0,0,0,1,0,1,1,0,0,1.5,14329.333,0,57
"1135",1,11,2,5,1,1,3,26012.171,929.83512,112,0,0,0,1,1,0,0,1,0,0,1,3.5,7432.049,0,22
"3562",1,41,2,5,1,1,3,16476,1354.66113,412,0,0,0,1,1,0,0,1,0,0,1,1.5,10984,0,82
"4459",1,41,2,3,1,3,2,10079,1103.32604,412,0,1,0,0,0,0,1,1,0,1,0,2,5039.5,1,82
"3215",1,29,2,5,1,1,3,5768,2454.43443,292,0,0,0,1,1,0,0,1,0,0,1,1,5768,1,58
"2186",1,21,2,3,1,2,1,19960,1239.73361,212,0,1,0,0,0,1,0,1,1,0,0,2.1,9504.762,0,42
"2563",1,23,1,3,1,1,1,16196,861.84763,231,0,1,0,0,1,0,0,1,1,0,0,2.8,5784.286,1,45
"3073",1,29,2,3,1,1,2,20414,2012.23337,292,0,1,0,0,1,0,0,1,0,1,0,2,10207,0,58
"4065",1,41,1,2,1,2,3,52200,1619.38315,411,1,0,0,0,0,1,0,1,0,0,1,3,17400,0,81
"1045",1,11,2,0,1,0,0,40300,529.71756,112,0,0,0,0,0,0,0,1,0,0,0,2.4,16791.666,0,22
"1100",1,11,1,4,1,2,3,5,2264.84959,111,0,0,1,0,0,1,0,1,0,0,1,1.5,3.333,1,21
"2282",1,21,2,3,1,3,1,44450,1377.29551,212,0,1,0,0,0,0,1,1,1,0,0,2.1,21166.668,0,42
"2584",1,23,2,3,1,2,1,46212.193,1300.57543,232,0,1,0,0,0,1,0,1,1,0,0,2.1,22005.807,0,46
"2430",1,23,1,3,1,1,1,23300,948.80181,231,0,1,0,0,1,0,0,1,1,0,0,1,23300,0,45
"3982",1,41,1,2,1,2,3,50200,2130.85862,411,1,0,0,0,0,1,0,1,0,0,1,2,25100,0,81
"2841",1,29,1,5,1,1,3,10308,1032.40203,291,0,0,0,1,1,0,0,1,0,0,1,1.5,6872,0,57
"3275",1,29,2,4,1,3,1,43776.302,538.58432,292,0,0,1,0,0,0,1,1,1,0,0,1,43776.302,0,58
"4122",1,41,1,1,1,0,0,23346,1079.84838,411,0,0,0,0,0,0,0,1,0,0,0,3,7782,0,81
"3604",1,41,2,3,0,2,1,40117.545,2034.38559,412,0,1,0,0,0,1,0,0,1,0,0,2.3,17442.411,0,82
"2814",1,29,1,4,0,2,1,14664.707,557.14151,291,0,0,1,0,0,1,0,0,1,0,0,2,7332.354,0,57
"92",1,4,2,4,1,1,3,10332,1351.15868,42,0,0,1,0,1,0,0,1,0,0,1,1.5,6888,0,8
"1566",1,14,2,5,1,1,3,11116,769.91036,142,0,0,0,1,1,0,0,1,0,0,1,1.5,7410.667,0,28
"285",1,4,2,0,1,0,0,18426,1166.79508,42,0,0,0,0,0,0,0,1,0,0,0,2.3,8011.305,0,8
"3263",1,29,2,3,1,1,3,29281,1368.14563,292,0,1,0,0,1,0,0,1,0,0,1,2.1,13943.334,0,58
"3343",1,29,1,3,1,2,1,20544,1234.66311,291,0,1,0,0,0,1,0,1,1,0,0,2,10272,0,57
"2252",1,21,2,3,1,2,1,21844.546,2239.25644,212,0,1,0,0,0,1,0,1,1,0,0,2.3,9497.629,0,42
"929",1,11,1,2,1,1,1,17178,2150.93732,111,1,0,0,0,1,0,0,1,1,0,0,2.3,7468.696,0,21
"1164",1,11,2,5,1,1,3,10200,671.99131,112,0,0,0,1,1,0,0,1,0,0,1,1.5,6800,0,22
"3320",1,29,1,3,1,2,2,39600,4923.04118,291,0,1,0,0,0,1,0,1,0,1,0,2.5,15840,0,57
"2028",1,18,2,3,1,2,1,23558.269,1400.00865,182,0,1,0,0,0,1,0,1,1,0,0,2.3,10242.726,0,36
"2118",1,21,2,3,1,2,2,10612,1480.87128,212,0,1,0,0,0,1,0,1,0,1,0,1.6,6632.5,0,42
"1819",1,18,1,3,1,2,1,19450,2600.87319,181,0,1,0,0,0,1,0,1,1,0,0,1.8,10805.556,0,35
"39",1,4,2,3,1,1,1,28269.302,1941.08851,42,0,1,0,0,1,0,0,1,1,0,0,2.3,12291.001,0,8
"4047",1,41,1,4,1,2,1,27301.187,1711.15506,411,0,0,1,0,0,1,0,1,1,0,0,2,13650.594,0,81
"2834",1,29,2,3,1,2,1,12600,1776.9474,292,0,1,0,0,0,1,0,1,1,0,0,1.3,9692.308,0,58
"3170",1,29,2,3,1,3,1,27070,3600.54545,292,0,1,0,0,0,0,1,1,1,0,0,1.8,15038.889,0,58
"2953",1,29,2,4,1,2,1,28310,1493.78349,292,0,0,1,0,0,1,0,1,1,0,0,1.5,18873.333,0,58
"4397",1,41,2,5,1,1,3,24011.619,1270.45002,412,0,0,0,1,1,0,0,1,0,0,1,2,12005.809,0,82
"4489",1,41,1,4,1,2,3,15748,1992.28053,411,0,0,1,0,0,1,0,1,0,0,1,2.5,6299.2,1,81
"901",1,11,1,3,1,1,1,11660,1056.80384,111,0,1,0,0,1,0,0,1,1,0,0,2.4,4858.333,1,21
"1852",1,18,1,3,1,1,1,22094,2167.89223,181,0,1,0,0,1,0,0,1,1,0,0,2.5,8837.6,0,35
"2298",1,21,2,0,1,0,0,20950,786.6361,212,0,0,0,0,0,0,0,1,0,0,0,1.8,11638.889,0,42
"2088",1,21,2,3,1,2,3,4214,1239.17529,212,0,1,0,0,0,1,0,1,0,0,1,1,4214,1,42
"3327",1,29,1,5,1,1,3,5768,2220.1174,291,0,0,0,1,1,0,0,1,0,0,1,1,5768,1,57
"2343",1,23,2,0,0,0,0,9100,1158.03279,232,0,0,0,0,0,0,0,0,0,0,0,2.9,3137.931,1,46
"974",1,11,2,4,1,1,3,10548.705,603.95153,112,0,0,1,0,1,0,0,1,0,0,1,2,5274.352,1,22
"2829",1,29,2,2,1,2,1,21600,1849.83977,292,1,0,0,0,0,1,0,1,1,0,0,2,10800,0,58
"3535",1,29,1,4,1,1,3,4342,810.46998,291,0,0,1,0,1,0,0,1,0,0,1,1.5,2894.667,1,57
"2347",1,23,2,5,1,1,3,7350,1654.85245,232,0,0,0,1,1,0,0,1,0,0,1,1.5,4900,1,46
"368",1,4,1,0,1,0,0,16386.641,1403.88187,41,0,0,0,0,0,0,0,1,0,0,0,2.1,7803.163,0,7
"3531",1,29,1,1,1,0,0,9780,1353.19119,291,0,0,0,0,0,0,0,1,0,0,0,2,4890,1,57
"1034",1,11,2,0,1,0,0,27600,1012.80743,112,0,0,0,0,0,0,0,1,0,0,0,2.1,13142.858,0,22
"2038",1,18,1,0,1,0,0,96978.287,1186.71544,181,0,0,0,0,0,0,0,1,0,0,0,2.3,42164.473,0,35
"2887",1,29,2,0,1,0,0,9774.33,1346.48386,292,0,0,0,0,0,0,0,1,0,0,0,2.6,3759.358,1,58
"3694",1,41,1,3,1,2,1,16710,3165.40078,411,0,1,0,0,0,1,0,1,1,0,0,2.1,7957.143,0,81
"2860",1,29,2,2,1,2,1,25418.092,1851.19962,292,1,0,0,0,0,1,0,1,1,0,0,2.5,10167.237,0,58
"1440",1,14,1,2,1,2,3,20282.47,2431.0612,141,1,0,0,0,0,1,0,1,0,0,1,3.5,5794.991,1,27
"3169",1,29,1,3,1,3,1,27070,3600.54545,291,0,1,0,0,0,0,1,1,1,0,0,1.8,15038.889,0,57
"3239",1,29,2,0,1,0,0,20640,1361.15816,292,0,0,0,0,0,0,0,1,0,0,0,1.8,11466.667,0,58
"3970",1,41,1,1,1,0,0,17670,1808.92394,411,0,0,0,0,0,0,0,1,0,0,0,2.5,7068,0,81
"1756",1,18,1,5,1,1,3,15475.713,2033.04731,181,0,0,0,1,1,0,0,1,0,0,1,1.5,10317.142,0,35
"3250",1,29,2,0,1,0,0,-300,1489.13897,292,0,0,0,0,0,0,0,1,0,0,0,1.8,-166.667,1,58
"545",1,11,1,4,1,1,1,24082,1479.65685,111,0,0,1,0,1,0,0,1,1,0,0,2,12041,0,21
"2443",1,23,1,3,1,2,1,15859.877,1362.15089,231,0,1,0,0,0,1,0,1,1,0,0,2.6,6099.953,1,45
"4255",1,41,2,4,1,1,2,4900,990.07275,412,0,0,1,0,1,0,0,1,0,1,0,2,2450,1,82
"169",1,4,1,5,1,1,3,9960,3653.33514,41,0,0,0,1,1,0,0,1,0,0,1,1.5,6640,0,7
"3280",1,29,2,3,1,3,1,34930,1497.48406,292,0,1,0,0,0,0,1,1,1,0,0,1.5,23286.667,0,58
"4362",1,41,2,3,1,3,3,11000,1073.42502,412,0,1,0,0,0,0,1,1,0,0,1,2.1,5238.095,1,82
"2587",1,23,1,3,1,3,1,29401,1375.88449,231,0,1,0,0,0,0,1,1,1,0,0,2.1,14000.477,0,45
"4331",1,41,2,3,1,3,1,22867,1410.84901,412,0,1,0,0,0,0,1,1,1,0,0,2,11433.5,0,82
"3578",1,41,2,3,1,2,3,46398,1818.56186,412,0,1,0,0,0,1,0,1,0,0,1,3.5,13256.571,0,82
"3476",1,29,1,5,1,1,3,7168,2619.29743,291,0,0,0,1,1,0,0,1,0,0,1,1,7168,0,57
"94",1,4,2,3,1,2,1,7001,2174.78556,42,0,1,0,0,0,1,0,1,1,0,0,2.1,3333.81,1,8
"2529",1,23,2,3,1,3,3,35291.311,1554.75002,232,0,1,0,0,0,0,1,1,0,0,1,2,17645.656,0,46
"4123",1,41,2,4,1,1,3,15588,445.8055,412,0,0,1,0,1,0,0,1,0,0,1,1.8,8660,0,82
"4458",1,41,2,4,1,2,3,10079,1103.32604,412,0,0,1,0,0,1,0,1,0,0,1,2,5039.5,1,82
"3849",1,41,1,2,1,2,1,12000,2774.36387,411,1,0,0,0,0,1,0,1,1,0,0,2,6000,1,81
"2285",1,21,1,3,1,2,1,32201,1815.05624,211,0,1,0,0,0,1,0,1,1,0,0,1.5,21467.333,0,41
"81",1,4,2,3,1,2,2,17920,2770.32685,42,0,1,0,0,0,1,0,1,0,1,0,2,8960,0,8
"2780",1,23,1,1,1,0,0,7200,1193.29442,231,0,0,0,0,0,0,0,1,0,0,0,2.3,3130.435,1,45
"2918",1,29,2,5,1,2,3,11886,2764.36107,292,0,0,0,1,0,1,0,1,0,0,1,1.5,7924,0,58
"588",1,11,2,3,1,3,1,70679.808,475.89836,112,0,1,0,0,0,0,1,1,1,0,0,2,35339.904,0,22
"3655",1,41,2,3,1,3,1,69935,2419.24268,412,0,1,0,0,0,0,1,1,1,0,0,2.5,27974,0,82
"2467",1,23,2,2,1,2,3,13000,1175.54845,232,1,0,0,0,0,1,0,1,0,0,1,2,6500,1,46
"6013",2,50,1,0,1,0,0,19950,124.38776,501,0,0,0,0,0,0,0,1,0,0,0,2.6,7673.077,0,99
"4738",2,22,1,3,1,3,3,45593,238.24375,221,0,1,0,0,0,0,1,1,0,0,1,2.5,18237.2,0,43
"5210",2,50,2,5,1,1,3,14348,676.1383,502,0,0,0,1,1,0,0,1,0,0,1,2,7174,0,100
"5801",2,50,2,3,1,1,3,21000,341.43767,502,0,1,0,0,1,0,0,1,0,0,1,2.5,8400,0,100
"4898",2,50,2,2,1,1,3,13263.897,576.27311,502,1,0,0,0,1,0,0,1,0,0,1,2.3,5766.912,1,100
"5777",2,50,1,5,1,1,3,18086.507,244.87506,501,0,0,0,1,1,0,0,1,0,0,1,2.5,7234.603,0,99
"5570",2,50,1,0,1,0,0,41254,434.60131,501,0,0,0,0,0,0,0,1,0,0,0,2.1,19644.763,0,99
"4666",2,22,1,3,1,3,1,35201.092,812.96926,221,0,1,0,0,0,0,1,1,1,0,0,2.1,16762.426,0,43
"4981",2,50,2,0,1,0,0,26789.7,687.48885,502,0,0,0,0,0,0,0,1,0,0,0,2.1,12757.001,0,100
"5360",2,50,2,3,1,1,3,23540,790.73222,502,0,1,0,0,1,0,0,1,0,0,1,2,11770,0,100
"5251",2,50,2,4,1,0,0,28981.821,748.1725,502,0,0,1,0,0,0,0,1,0,0,0,2.5,11592.728,0,100
"5042",2,50,2,4,1,3,1,49462.651,115.817,502,0,0,1,0,0,0,1,1,1,0,0,1.5,32975.101,0,100
"5755",2,50,1,0,1,0,0,46156,1795.92902,501,0,0,0,0,0,0,0,1,0,0,0,1.8,25642.223,0,99
"5060",2,50,1,4,1,1,1,24528,1156.31964,501,0,0,1,0,1,0,0,1,1,0,0,2.5,9811.2,0,99
"5397",2,50,2,0,1,0,0,29020,259.53854,502,0,0,0,0,0,0,0,1,0,0,0,2.8,10364.286,0,100
"4619",2,22,2,4,1,1,1,28155.886,371.8669,222,0,0,1,0,1,0,0,1,1,0,0,1.5,18770.591,0,44
"5551",2,50,1,4,1,2,2,12900,244.08806,501,0,0,1,0,0,1,0,1,0,1,0,1.5,8600,0,99
"4875",2,44,1,2,1,2,1,25161,257.3732,441,1,0,0,0,0,1,0,1,1,0,0,2.3,10939.565,0,87
"5969",2,50,1,3,1,2,1,30752.172,666.00064,501,0,1,0,0,0,1,0,1,1,0,0,1.5,20501.448,0,99
"5204",2,50,1,2,0,1,3,11254,796.93983,501,1,0,0,0,1,0,0,0,0,0,1,2,5627,1,99
"4613",2,22,1,3,1,2,1,33196,952.44421,221,0,1,0,0,0,1,0,1,1,0,0,1.8,18442.223,0,43
"4715",2,22,2,3,1,3,1,43380,1395.76269,222,0,1,0,0,0,0,1,1,1,0,0,2.5,17352,0,44
"4949",2,50,1,3,1,2,1,15000,394.24607,501,0,1,0,0,0,1,0,1,1,0,0,1.5,10000,0,99
"5467",2,50,2,3,1,2,1,32380,382.21237,502,0,1,0,0,0,1,0,1,1,0,0,2,16190,0,100
"5780",2,50,1,0,1,0,0,9097.395,587.4684,501,0,0,0,0,0,0,0,1,0,0,0,2.1,4332.093,1,99
"4582",2,22,2,0,1,0,0,16319.588,401.23022,222,0,0,0,0,0,0,0,1,0,0,0,2.1,7771.233,0,44
"6014",2,50,1,0,1,0,0,19950,124.38776,501,0,0,0,0,0,0,0,1,0,0,0,2.6,7673.077,0,99
"4516",2,22,2,3,1,1,3,19593,895.18967,222,0,1,0,0,1,0,0,1,0,0,1,2.3,8518.696,0,44
"5767",2,50,1,4,1,1,3,3960,329.60179,501,0,0,1,0,1,0,0,1,0,0,1,1.5,2640,1,99
"5085",2,50,2,4,1,2,1,14000,80.34531,502,0,0,1,0,0,1,0,1,1,0,0,1,14000,0,100
"5157",2,50,2,5,1,1,3,6300,1335.36072,502,0,0,0,1,1,0,0,1,0,0,1,1.5,4200,1,100
"5190",2,50,1,4,1,2,3,25760,399.35203,501,0,0,1,0,0,1,0,1,0,0,1,2,12880,0,99
"5994",2,50,1,2,1,3,3,37460,182.44072,501,1,0,0,0,0,0,1,1,0,0,1,2.5,14984,0,99
"5120",2,50,1,2,1,1,3,23009,503.36975,501,1,0,0,0,1,0,0,1,0,0,1,2.5,9203.6,0,99
"4534",2,22,1,5,1,1,3,11592,547.58699,221,0,0,0,1,1,0,0,1,0,0,1,1.5,7728,0,43
"5172",2,50,2,3,1,2,1,27170,355.6001,502,0,1,0,0,0,1,0,1,1,0,0,2.5,10868,0,100
"5257",2,50,1,3,1,2,1,54581,148.44654,501,0,1,0,0,0,1,0,1,1,0,0,2.8,19493.215,0,99
"5102",2,50,2,0,1,0,0,57358,893.74119,502,0,0,0,0,0,0,0,1,0,0,0,1.8,31865.556,0,100
"7590",3,33,1,4,1,1,1,27456.247,806.86099,331,0,0,1,0,1,0,0,1,1,0,0,2.5,10982.499,0,65
"6395",3,33,2,3,1,2,1,13946,295.12392,332,0,1,0,0,0,1,0,1,1,0,0,2,6973,0,66
"6312",3,33,1,3,1,1,1,22389.353,171.76717,331,0,1,0,0,1,0,0,1,1,0,0,3.1,7222.372,0,65
"6824",3,33,1,3,1,1,3,27605,277.96373,331,0,1,0,0,1,0,0,1,0,0,1,2.1,13145.239,0,65
"7345",3,33,2,5,1,1,3,10608,711.96849,332,0,0,0,1,1,0,0,1,0,0,1,1.5,7072,0,66
"7482",3,33,1,2,1,2,3,14750.463,1951.95008,331,1,0,0,0,0,1,0,1,0,0,1,2.5,5900.185,1,65
"6122",3,33,1,5,1,1,3,13245.623,586.49566,331,0,0,0,1,1,0,0,1,0,0,1,1.5,8830.415,0,65
"7053",3,33,2,3,1,1,3,30101,373.97332,332,0,1,0,0,1,0,0,1,0,0,1,2.3,13087.392,0,66
"7281",3,33,1,3,1,1,3,9486.332,812.0925,331,0,1,0,0,1,0,0,1,0,0,1,2.1,4517.301,1,65
"6146",3,33,2,1,1,0,0,14000,1059.16739,332,0,0,0,0,0,0,0,1,0,0,0,2.3,6086.957,1,66
"6324",3,33,2,3,1,2,3,21561,1213.40053,332,0,1,0,0,0,1,0,1,0,0,1,1.8,11978.334,0,66
"7216",3,33,2,5,1,1,3,6132,515.41726,332,0,0,0,1,1,0,0,1,0,0,1,1,6132,1,66
"6684",3,33,1,3,1,2,1,17500,730.45486,331,0,1,0,0,0,1,0,1,1,0,0,2,8750,0,65
"6214",3,33,2,3,1,1,2,16832.259,226.84665,332,0,1,0,0,1,0,0,1,0,1,0,2.6,6473.946,1,66
"7526",3,33,2,3,1,3,1,40038.216,861.10439,332,0,1,0,0,0,0,1,1,1,0,0,2.1,19065.818,0,66
"7461",3,33,2,3,1,2,1,42382.45,2659.54212,332,0,1,0,0,0,1,0,1,1,0,0,2.5,16952.98,0,66
"7432",3,33,2,3,1,2,3,20320,503.80983,332,0,1,0,0,0,1,0,1,0,0,1,1.8,11288.889,0,66
"7496",3,33,2,0,1,0,0,45000,1060.86476,332,0,0,0,0,0,0,0,1,0,0,0,2.1,21428.572,0,66
"6227",3,33,2,4,1,2,1,20970,362.88638,332,0,0,1,0,0,1,0,1,1,0,0,1.5,13980,0,66
"7114",3,33,2,5,1,1,3,31948.441,191.48671,332,0,0,0,1,1,0,0,1,0,0,1,1.5,21298.961,0,66
"6599",3,33,2,4,1,1,3,28051,485.61638,332,0,0,1,0,1,0,0,1,0,0,1,2.3,12196.087,0,66
"7106",3,33,2,1,1,0,0,15187,338.15995,332,0,0,0,0,0,0,0,1,0,0,0,2.5,6074.8,1,66
"6661",3,33,1,3,1,2,1,16365,156.01484,331,0,1,0,0,0,1,0,1,1,0,0,1,16365,0,65
