"","ccaa","prov","sexo","edad","nacio","educ","situa","rentah","factorele","provsex","edad2","edad3","edad4","edad5","edu1","edu2","edu3","nacio1","situ1","situ2","situ3","uchogar","rentanorm","pobre","dom"
"28029",13,28,2,3,1,2,1,19595.84,2684.69517,282,0,1,0,0,0,1,0,1,1,0,0,2.5,7838.336,0,56
"26634",13,28,2,0,1,0,0,21108,1093.89408,282,0,0,0,0,0,0,0,1,0,0,0,4.1,5148.293,1,56
"26725",13,28,2,3,1,2,1,23616,2742.53314,282,0,1,0,0,0,1,0,1,1,0,0,2.3,10267.826,0,56
"27254",13,28,2,3,1,3,1,50900,6428.52622,282,0,1,0,0,0,0,1,1,1,0,0,1.5,33933.333,0,56
"28025",13,28,2,2,1,2,3,43694.572,2274.96203,282,1,0,0,0,0,1,0,1,0,0,1,3.3,13240.78,0,56
"28013",13,28,1,3,1,3,1,77122.364,1982.8202,281,0,1,0,0,0,0,1,1,1,0,0,2,38561.182,0,55
"27908",13,28,1,3,1,2,1,16800,6383.55949,281,0,1,0,0,0,1,0,1,1,0,0,1.5,11200,0,55
"28401",14,30,2,3,1,1,3,21458,425.35977,302,0,1,0,0,1,0,0,1,0,0,1,2.8,7663.572,0,60
"29182",14,30,2,0,1,0,0,59931.05,377.86535,302,0,0,0,0,0,0,0,1,0,0,0,2.1,28538.597,0,60
"28681",14,30,2,0,0,0,0,5000,1123.53997,302,0,0,0,0,0,0,0,0,0,0,0,2.1,2380.952,1,60
"29803",14,30,1,3,1,1,1,34792,1126.96904,301,0,1,0,0,1,0,0,1,1,0,0,2.3,15126.957,0,59
"28141",14,30,2,3,1,1,3,0,780.58641,302,0,1,0,0,1,0,0,1,0,0,1,1.8,0,1,60
"29123",14,30,2,2,1,2,3,45700,495.1381,302,1,0,0,0,0,1,0,1,0,0,1,2.3,19869.566,0,60
"28804",14,30,2,3,1,3,1,51600,731.19524,302,0,1,0,0,0,0,1,1,1,0,0,2.1,24571.43,0,60
"29774",14,30,2,5,1,1,3,14000,323.55954,302,0,0,0,1,1,0,0,1,0,0,1,2,7000,0,60
"28518",14,30,2,5,1,1,1,53292,2524.86349,302,0,0,0,1,1,0,0,1,1,0,0,3,17764,0,60
"29850",14,30,1,3,1,2,1,23800,384.57971,301,0,1,0,0,0,1,0,1,1,0,0,1.8,13222.223,0,59
"28526",14,30,1,4,1,1,1,13839,461.72073,301,0,0,1,0,1,0,0,1,1,0,0,2,6919.5,0,59
"29569",14,30,2,1,1,0,0,11400,348.07196,302,0,0,0,0,0,0,0,1,0,0,0,3,3800,1,60
"28219",14,30,1,3,1,1,1,17414.286,885.93382,301,0,1,0,0,1,0,0,1,1,0,0,2.3,7571.429,0,59
"28958",14,30,1,3,1,1,1,5550.309,457.56456,301,0,1,0,0,1,0,0,1,1,0,0,2.4,2312.629,1,59
"29844",14,30,1,3,0,3,1,8264.935,1011.5675,301,0,1,0,0,0,0,1,0,1,0,0,2.5,3305.974,1,59
"29674",14,30,2,3,1,3,1,71996.129,703.47206,302,0,1,0,0,0,0,1,1,1,0,0,2.5,28798.452,0,60
"28175",14,30,1,3,1,1,3,9372,1540.22218,301,0,1,0,0,1,0,0,1,0,0,1,1.5,6248,1,59
"28492",14,30,2,3,1,2,3,22412,1932.13719,302,0,1,0,0,0,1,0,1,0,0,1,1.8,12451.111,0,60
"28902",14,30,1,3,1,2,1,31649.171,405.98902,301,0,1,0,0,0,1,0,1,1,0,0,2.3,13760.509,0,59
"28650",14,30,2,2,1,2,3,31595,880.48352,302,1,0,0,0,0,1,0,1,0,0,1,2.3,13736.957,0,60
"28150",14,30,1,2,1,1,1,22044,658.05649,301,1,0,0,0,1,0,0,1,1,0,0,2.5,8817.6,0,59
"29759",14,30,2,3,0,2,1,23380,622.60224,302,0,1,0,0,0,1,0,0,1,0,0,2.8,8350,0,60
"29679",14,30,1,2,1,2,3,18120,2059.95081,301,1,0,0,0,0,1,0,1,0,0,1,1.5,12080,0,59
"28836",14,30,1,2,1,2,3,36090.612,891.17012,301,1,0,0,0,0,1,0,1,0,0,1,2.3,15691.571,0,59
"28912",14,30,2,3,1,1,1,25081.945,343.75477,302,0,1,0,0,1,0,0,1,1,0,0,2.3,10905.194,0,60
"28099",14,30,2,2,1,2,1,26775.096,917.94273,302,1,0,0,0,0,1,0,1,1,0,0,2.5,10710.038,0,60
"28727",14,30,2,0,1,0,0,42845,1236.32626,302,0,0,0,0,0,0,0,1,0,0,0,2.1,20402.382,0,60
"28580",14,30,1,0,1,0,0,22158,89.84575,301,0,0,0,0,0,0,0,1,0,0,0,4.4,5035.909,1,59
"28353",14,30,2,0,1,0,0,13400,770.78729,302,0,0,0,0,0,0,0,1,0,0,0,2.1,6380.953,1,60
"29814",14,30,1,1,1,0,0,0,736.86341,301,0,0,0,0,0,0,0,1,0,0,0,2.3,0,1,59
"29201",14,30,1,5,1,1,3,5535,947.32723,301,0,0,0,1,1,0,0,1,0,0,1,1.5,3690,1,59
"28974",14,30,1,0,1,0,0,67794.751,821.37393,301,0,0,0,0,0,0,0,1,0,0,0,4.3,15766.22,0,59
"28977",14,30,2,3,1,2,1,34069.297,1041.94432,302,0,1,0,0,0,1,0,1,1,0,0,1.8,18927.388,0,60
"29707",14,30,1,0,1,0,0,6355.179,277.82573,301,0,0,0,0,0,0,0,1,0,0,0,2.6,2444.3,1,59
"29461",14,30,2,3,1,3,1,45473,405.09261,302,0,1,0,0,0,0,1,1,1,0,0,3,15157.667,0,60
"28824",14,30,1,2,1,2,1,29103,238.408,301,1,0,0,0,0,1,0,1,1,0,0,2.5,11641.2,0,59
"28630",14,30,2,5,1,1,3,21958.3,201.38202,302,0,0,0,1,1,0,0,1,0,0,1,3.5,6273.8,1,60
"28334",14,30,1,1,1,0,0,19168.394,884.6879,301,0,0,0,0,0,0,0,1,0,0,0,2.3,8334.085,0,59
"29484",14,30,1,0,1,0,0,9438.038,1190.63737,301,0,0,0,0,0,0,0,1,0,0,0,2.1,4494.304,1,59
"29330",14,30,2,4,1,1,1,18544.519,220.59613,302,0,0,1,0,1,0,0,1,1,0,0,1.5,12363.013,0,60
"28802",14,30,2,2,1,2,3,0,527.49755,302,1,0,0,0,0,1,0,1,0,0,1,2,0,1,60
"29103",14,30,1,0,1,0,0,9000,81.63041,301,0,0,0,0,0,0,0,1,0,0,0,5,1800,1,59
"29141",14,30,2,5,1,1,3,69920,414.64802,302,0,0,0,1,1,0,0,1,0,0,1,2.8,24971.429,0,60
"28806",14,30,1,0,1,0,0,51600,731.19524,301,0,0,0,0,0,0,0,1,0,0,0,2.1,24571.43,0,59
"30909",15,31,1,0,1,0,0,22024.395,109.34257,311,0,0,0,0,0,0,0,1,0,0,0,2.4,9176.831,0,61
"30047",15,31,1,5,1,1,3,37087.425,442.88958,311,0,0,0,1,1,0,0,1,0,0,1,2.5,14834.97,0,61
"29968",15,31,2,3,1,2,1,38538.741,587.08928,312,0,1,0,0,0,1,0,1,1,0,0,2.5,15415.496,0,62
"30163",15,31,1,0,1,0,0,16181.836,271.47055,311,0,0,0,0,0,0,0,1,0,0,0,1.6,10113.647,0,61
"30425",15,31,2,2,1,2,3,27475,290.16042,312,1,0,0,0,0,1,0,1,0,0,1,2.5,10990,0,62
"30430",15,31,2,3,1,2,2,13715,169.05244,312,0,1,0,0,0,1,0,1,0,1,0,3.3,4156.061,1,62
"30506",15,31,1,0,1,0,0,108434.5,545.06671,311,0,0,0,0,0,0,0,1,0,0,0,2.1,51635.479,0,61
"30514",15,31,1,3,1,2,1,34425,315.02326,311,0,1,0,0,0,1,0,1,1,0,0,1.5,22950,0,61
"30123",15,31,2,3,1,2,1,46953.71,192.71097,312,0,1,0,0,0,1,0,1,1,0,0,2.6,18059.12,0,62
"29972",15,31,2,5,1,1,3,12485,236.32129,312,0,0,0,1,1,0,0,1,0,0,1,1.5,8323.333,0,62
"30753",15,31,1,3,1,1,2,14964.143,571.38795,311,0,1,0,0,1,0,0,1,0,1,0,2,7482.072,0,61
"30008",15,31,2,3,1,1,3,30210,541.02754,312,0,1,0,0,1,0,0,1,0,0,1,2.5,12084,0,62
"30365",15,31,2,3,1,2,1,14504,635.58576,312,0,1,0,0,0,1,0,1,1,0,0,2,7252,0,62
"30051",15,31,1,4,1,2,1,72190,182.17861,311,0,0,1,0,0,1,0,1,1,0,0,3,24063.333,0,61
"30381",15,31,2,4,1,2,1,38031,743.10922,312,0,0,1,0,0,1,0,1,1,0,0,2.5,15212.4,0,62
"30292",15,31,1,5,1,2,1,38933.695,229.8139,311,0,0,0,1,0,1,0,1,1,0,0,2,19466.847,0,61
"30391",15,31,1,3,1,3,1,91442.366,840.81498,311,0,1,0,0,0,0,1,1,1,0,0,2.5,36576.946,0,61
"30172",15,31,2,3,1,2,2,22996.91,1492.08118,312,0,1,0,0,0,1,0,1,0,1,0,2.3,9998.657,0,62
"30662",15,31,1,0,1,0,0,15114.484,446.11775,311,0,0,0,0,0,0,0,1,0,0,0,2.1,7197.374,0,61
"30695",15,31,1,4,1,1,1,21136.901,379.98115,311,0,0,1,0,1,0,0,1,1,0,0,2,10568.451,0,61
"29936",15,31,1,4,1,2,1,63650,110.02594,311,0,0,1,0,0,1,0,1,1,0,0,3,21216.667,0,61
"30180",15,31,2,4,1,2,1,41869.001,146.65107,312,0,0,1,0,0,1,0,1,1,0,0,1.5,27912.667,0,62
"30079",15,31,1,3,0,2,1,6603,466.57009,311,0,1,0,0,0,1,0,0,1,0,0,1,6603,0,61
"30504",15,31,2,3,1,2,3,108434.5,545.06671,312,0,1,0,0,0,1,0,1,0,0,1,2.1,51635.479,0,62
"30868",15,31,2,5,1,3,3,44855.529,1298.70833,312,0,0,0,1,0,0,1,1,0,0,1,1.5,29903.686,0,62
"30376",15,31,1,2,1,3,1,25780.91,895.26256,311,1,0,0,0,0,0,1,1,1,0,0,2.5,10312.364,0,61
"30602",15,31,1,0,1,0,0,26525,139.30841,311,0,0,0,0,0,0,0,1,0,0,0,1.3,20403.847,0,61
"30175",15,31,2,0,1,0,0,22996.91,1492.08118,312,0,0,0,0,0,0,0,1,0,0,0,2.3,9998.657,0,62
"31984",16,48,1,3,1,2,1,34802.263,298.9374,481,0,1,0,0,0,1,0,1,1,0,0,1.5,23201.509,0,95
"31144",16,1,1,5,1,0,0,26572.746,718.18069,11,0,0,0,1,0,0,0,1,0,0,0,2,13286.373,0,1
"32580",16,48,1,4,1,2,3,35231.164,45.08485,481,0,0,1,0,0,1,0,1,0,0,1,3.5,10066.047,0,95
"31315",16,20,1,1,1,0,0,21605,780.57585,201,0,0,0,0,0,0,0,1,0,0,0,2.3,9393.478,0,39
"32769",16,48,1,2,1,2,3,45679.385,584.92879,481,1,0,0,0,0,1,0,1,0,0,1,2,22839.693,0,95
"32537",16,48,2,3,1,2,3,25610,116.47254,482,0,1,0,0,0,1,0,1,0,0,1,2.8,9146.429,0,96
"31078",16,1,2,4,1,1,3,14625.251,850.38518,12,0,0,1,0,1,0,0,1,0,0,1,1.5,9750.167,0,2
"31101",16,1,2,5,1,3,3,20050.371,441.79448,12,0,0,0,1,0,0,1,1,0,0,1,1.5,13366.914,0,2
"32669",16,48,2,5,1,2,3,9469,643.57433,482,0,0,0,1,0,1,0,1,0,0,1,1,9469,0,96
"32338",16,48,1,5,1,1,3,21643.419,651.194,481,0,0,0,1,1,0,0,1,0,0,1,1.5,14428.946,0,95
"32166",16,48,1,2,1,3,3,47961.652,679.62272,481,1,0,0,0,0,0,1,1,0,0,1,2.5,19184.661,0,95
"31484",16,20,2,3,1,2,1,30159.665,855.32645,202,0,1,0,0,0,1,0,1,1,0,0,1.8,16755.37,0,40
"32168",16,48,2,3,1,2,2,16917.797,1204.1964,482,0,1,0,0,0,1,0,1,0,1,0,1.5,11278.531,0,96
"31520",16,20,2,0,1,0,0,41105,1166.83895,202,0,0,0,0,0,0,0,1,0,0,0,1.8,22836.112,0,40
"32116",16,48,1,4,1,1,1,35370.182,194.70482,481,0,0,1,0,1,0,0,1,1,0,0,3.3,10718.237,0,95
"31588",16,20,2,3,1,3,1,14947.827,939.70949,202,0,1,0,0,0,0,1,1,1,0,0,1.6,9342.392,0,40
"31795",16,48,1,0,1,0,0,17530,3915.32776,481,0,0,0,0,0,0,0,1,0,0,0,1.8,9738.889,0,95
"32133",16,48,2,4,1,2,1,29763.975,1287.95986,482,0,0,1,0,0,1,0,1,1,0,0,1.5,19842.65,0,96
"31164",16,1,2,3,1,3,1,31607.086,915.73831,12,0,1,0,0,0,0,1,1,1,0,0,1.5,21071.391,0,2
"31557",16,20,2,3,1,2,3,28385.029,901.51513,202,0,1,0,0,0,1,0,1,0,0,1,2.1,13516.681,0,40
"32310",16,48,1,3,1,2,1,28700,1152.99078,481,0,1,0,0,0,1,0,1,1,0,0,2.3,12478.261,0,95
"31903",16,48,1,1,0,0,0,18257.118,263.89124,481,0,0,0,0,0,0,0,0,0,0,0,2.8,6520.399,1,95
"31447",16,20,1,3,1,2,2,46310,540.25155,201,0,1,0,0,0,1,0,1,0,1,0,3,15436.667,0,39
"31070",16,1,2,4,1,2,1,25050,199.94423,12,0,0,1,0,0,1,0,1,1,0,0,1,25050,0,2
"31678",16,20,2,3,1,3,1,42900,1742.58859,202,0,1,0,0,0,0,1,1,1,0,0,2.1,20428.572,0,40
"32637",16,48,1,1,1,0,0,24275.024,969.61355,481,0,0,0,0,0,0,0,1,0,0,0,2.3,10554.358,0,95
"31022",16,1,1,4,1,2,3,24710,342.32812,11,0,0,1,0,0,1,0,1,0,0,1,1.5,16473.333,0,1
"31517",16,20,2,0,1,0,0,89393,804.48705,202,0,0,0,0,0,0,0,1,0,0,0,2.1,42568.097,0,40
"31619",16,20,1,3,1,2,1,31515,1363.63082,201,0,1,0,0,0,1,0,1,1,0,0,1.8,17508.334,0,39
"31250",16,20,1,3,1,3,1,35162.296,1134.10261,201,0,1,0,0,0,0,1,1,1,0,0,1,35162.296,0,39
"31181",16,1,1,0,1,0,0,22224.906,1709.39737,11,0,0,0,0,0,0,0,1,0,0,0,2.1,10583.289,0,1
"31915",16,48,1,0,1,0,0,27646,266.16779,481,0,0,0,0,0,0,0,1,0,0,0,2.4,11519.166,0,95
"32069",16,48,2,3,1,2,1,11672.54,1734.05664,482,0,1,0,0,0,1,0,1,1,0,0,2.3,5075.017,1,96
"32693",16,48,1,3,1,3,1,31389.645,1126.38435,481,0,1,0,0,0,0,1,1,1,0,0,1.5,20926.43,0,95
"31182",16,1,2,0,1,0,0,22224.906,1709.39737,12,0,0,0,0,0,0,0,1,0,0,0,2.1,10583.289,0,2
"32161",16,48,1,3,1,2,1,10200,1777.32316,481,0,1,0,0,0,1,0,1,1,0,0,1,10200,0,95
"31364",16,20,1,2,1,2,1,72558,702.92711,201,1,0,0,0,0,1,0,1,1,0,0,3,24186,0,39
"32456",16,48,2,5,1,2,3,8300.748,1680.72879,482,0,0,0,1,0,1,0,1,0,0,1,1.5,5533.832,1,96
"31344",16,20,2,3,1,2,1,40016.1,458.70507,202,0,1,0,0,0,1,0,1,1,0,0,2,20008.05,0,40
"32227",16,48,2,5,1,1,3,48879.93,1076.83401,482,0,0,0,1,1,0,0,1,0,0,1,1.5,32586.62,0,96
"32811",16,48,1,0,1,0,0,13442.825,1155.7808,481,0,0,0,0,0,0,0,1,0,0,0,2.1,6401.346,1,95
"31817",16,48,2,2,1,0,0,34200,156.11224,482,1,0,0,0,0,0,0,1,0,0,0,3.5,9771.429,0,96
"31049",16,1,1,5,1,1,3,11891,1621.26314,11,0,0,0,1,1,0,0,1,0,0,1,1.5,7927.333,0,1
"32115",16,48,2,5,1,1,3,35370.182,194.70482,482,0,0,0,1,1,0,0,1,0,0,1,3.3,10718.237,0,96
"31611",16,20,2,3,1,2,1,23007,1146.80107,202,0,1,0,0,0,1,0,1,1,0,0,1.8,12781.667,0,40
"33023",17,26,2,3,1,2,1,16973.753,881.01982,262,0,1,0,0,0,1,0,1,1,0,0,1.5,11315.835,0,52
"33502",17,26,1,4,1,1,3,26752.759,344.04203,261,0,0,1,0,1,0,0,1,0,0,1,2,13376.379,0,51
"33426",17,26,2,0,0,0,0,5885.201,64.78974,262,0,0,0,0,0,0,0,0,0,0,0,2.1,2802.477,1,52
"33471",17,26,2,0,1,0,0,28831.2,255.49322,262,0,0,0,0,0,0,0,1,0,0,0,2.3,12535.305,0,52
"32961",17,26,2,2,1,2,3,40565.621,345.69097,262,1,0,0,0,0,1,0,1,0,0,1,2.5,16226.248,0,52
"33793",17,26,1,4,1,2,1,28958.533,373.08938,261,0,0,1,0,0,1,0,1,1,0,0,2,14479.266,0,51
"33478",17,26,2,3,1,2,1,29490,168.22144,262,0,1,0,0,0,1,0,1,1,0,0,2,14745,0,52
"33199",17,26,1,2,1,2,3,10849.897,98.87027,261,1,0,0,0,0,1,0,1,0,0,1,3,3616.632,1,51
"33432",17,26,2,3,1,2,3,39390,105.99465,262,0,1,0,0,0,1,0,1,0,0,1,2.5,15756,0,52
"32974",17,26,1,5,1,1,3,15667.578,1394.4653,261,0,0,0,1,1,0,0,1,0,0,1,1.5,10445.052,0,51
"33340",17,26,1,1,1,0,0,47326.642,223.41038,261,0,0,0,0,0,0,0,1,0,0,0,2.3,20576.801,0,51
"32881",17,26,1,3,1,2,1,35724,462.75537,261,0,1,0,0,0,1,0,1,1,0,0,1.8,19846.667,0,51
"33118",17,26,2,4,1,2,1,31769,112.60824,262,0,0,1,0,0,1,0,1,1,0,0,2.5,12707.6,0,52
"33163",17,26,2,2,1,2,1,57145.985,137.91074,262,1,0,0,0,0,1,0,1,1,0,0,3.5,16327.424,0,52
"33764",17,26,1,2,1,2,3,14570,182.38336,261,1,0,0,0,0,1,0,1,0,0,1,2,7285,0,51
"33610",17,26,1,3,0,2,2,9986.877,440.29392,261,0,1,0,0,0,1,0,0,0,1,0,2.1,4755.656,1,51
"32876",17,26,1,5,1,1,3,10377,287.32465,261,0,0,0,1,1,0,0,1,0,0,1,1.5,6918,0,51
"33353",17,26,2,3,1,3,1,25530,193.82263,262,0,1,0,0,0,0,1,1,1,0,0,1.8,14183.334,0,52
"32900",17,26,2,0,1,0,0,13077.678,205.49536,262,0,0,0,0,0,0,0,1,0,0,0,2.1,6227.466,1,52
"33703",17,26,1,3,0,2,1,25480,396.56162,261,0,1,0,0,0,1,0,0,1,0,0,1.8,14155.556,0,51
"33605",17,26,1,4,1,1,1,17300,381.2977,261,0,0,1,0,1,0,0,1,1,0,0,1,17300,0,51
"33190",17,26,1,4,1,2,1,44198.016,86.60559,261,0,0,1,0,0,1,0,1,1,0,0,1.5,29465.344,0,51
"33324",17,26,1,3,1,2,1,34800,387.1589,261,0,1,0,0,0,1,0,1,1,0,0,2.3,15130.435,0,51
"33019",17,26,2,3,1,1,3,20700,205.10174,262,0,1,0,0,1,0,0,1,0,0,1,2.3,9000,0,52
"33820",17,26,2,4,1,2,3,9045,377.45511,262,0,0,1,0,0,1,0,1,0,0,1,2,4522.5,1,52
"33913",18,51,2,4,1,1,3,6720,95.33342,512,0,0,1,0,1,0,0,1,0,0,1,1.5,4480,1,102
"34262",18,51,2,3,1,2,2,16951,83.06165,512,0,1,0,0,0,1,0,1,0,1,0,2.1,8071.905,0,102
"34005",18,51,2,4,0,1,3,4280,95.09699,512,0,0,1,0,1,0,0,0,0,0,1,2,2140,1,102
"33919",18,51,2,2,1,2,2,14079.164,325.36082,512,1,0,0,0,0,1,0,1,0,1,0,2,7039.582,0,102
"34423",18,52,1,0,1,0,0,38345,101.30009,521,0,0,0,0,0,0,0,1,0,0,0,2.3,16671.739,0,103
"34257",18,51,2,3,1,3,3,2062.931,509.829,512,0,1,0,0,0,0,1,1,0,0,1,1,2062.931,1,102
"34067",18,51,2,3,1,2,2,25850,98.7594,512,0,1,0,0,0,1,0,1,0,1,0,2.6,9942.308,0,102
"34159",18,51,1,4,1,1,3,11972,279.44652,511,0,0,1,0,1,0,0,1,0,0,1,1.5,7981.333,0,101
"34075",18,51,2,3,1,2,1,35961.155,256.49526,512,0,1,0,0,0,1,0,1,1,0,0,2.1,17124.36,0,102
"34554",18,52,2,3,1,2,1,4423,203.40436,522,0,1,0,0,0,1,0,1,1,0,0,1.5,2948.667,1,104
"34027",18,51,1,2,1,1,3,12710,146.81166,511,1,0,0,0,1,0,0,1,0,0,1,3.1,4100,1,101
"34492",18,52,2,2,1,2,2,9617.215,34.49072,522,1,0,0,0,0,1,0,1,0,1,0,1,9617.215,0,104
"34445",18,52,1,3,1,1,1,75387.807,166.14069,521,0,1,0,0,1,0,0,1,1,0,0,3,25129.269,0,103
"34491",18,52,1,0,1,0,0,29542.233,122.42588,521,0,0,0,0,0,0,0,1,0,0,0,2.1,14067.731,0,103
"34215",18,51,2,4,1,1,3,14000,269.76562,512,0,0,1,0,1,0,0,1,0,0,1,2,7000,0,102
"34594",18,52,2,0,1,0,0,29274.803,89.45304,522,0,0,0,0,0,0,0,1,0,0,0,3.1,9443.485,0,104
"34001",18,51,2,5,1,1,3,35784,79.53129,512,0,0,0,1,1,0,0,1,0,0,1,1.8,19880.001,0,102
"34265",18,51,1,3,1,3,1,45470,75.42191,511,0,1,0,0,0,0,1,1,1,0,0,2.1,21652.382,0,101
"34232",18,51,2,3,1,2,1,9240,194.1598,512,0,1,0,0,0,1,0,1,1,0,0,2,4620,1,102
"34382",18,52,2,3,1,2,3,37861.547,345.28392,522,0,1,0,0,0,1,0,1,0,0,1,1.8,21034.193,0,104
"34190",18,51,2,2,1,1,2,9660,200.05929,512,1,0,0,0,1,0,0,1,0,1,0,2.8,3450,1,102
